update,timeToCoalescence,ID,alive,countCopy,countDelete,countIndel,countPoint,countPointOffset,genomeLength,markovBrainDeterministicGates,markovBrainGates,markovBrain_nextNodesConnections_LIST,markovBrain_nodesConnections_LIST,optimizeValue_0,score_AVE,score_LIST,scoreCompassSensor_AVE,scoreCompassSensor_LIST,scoreCurrentlyOnHotspot_AVE,scoreCurrentlyOnHotspot_LIST,scoreDistFromGoal_AVE,scoreDistFromGoal_LIST,scoreGoal_AVE,scoreGoal_LIST,scoreHotspotPrediction_AVE,scoreHotspotPrediction_LIST,scoreHotspotSensor_AVE,scoreHotspotSensor_LIST,scoreMovesLeft_AVE,scoreMovesLeft_LIST,scoreMovesLeftGoal_AVE,scoreMovesLeftGoal_LIST,scoreWallSensor_AVE,scoreWallSensor_LIST,timeOfBirth
0,0,40,1,0,0,0,0,0,5000,6,6,"0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,2,0,1,1,0,0,1,0","0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0",3.016667,3.016667,"3.016667",0.550000,"0.550000",1.000000,"1.000000",-1.000000,"-1.000000",0.000000,"0.000000",0.500000,"0.500000",1.000000,"1.000000",0.000000,"0.000000",0.000000,"0.000000",0.966667,"0.966667",-1
100,0,10030,1,20,13,0,3486,0,8561,4,4,"0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,1,0","1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0",3.389353,3.389353,"3.389353",0.611990,"0.611990",0.702437,"0.702437",-0.473750,"-0.473750",0.150000,"0.150000",0.507589,"0.507589",0.734408,"0.734408",0.052042,"0.052042",0.346947,"0.346947",0.826456,"0.826456",99
200,0,20062,1,55,25,0,9757,0,17431,5,5,"0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,2,1,0,0,0,0,0,0","1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0",3.348239,3.348239,"3.348239",0.801556,"0.801556",0.787913,"0.787913",-0.596250,"-0.596250",0.100000,"0.100000",0.507667,"0.507667",0.758455,"0.758455",0.036923,"0.036923",0.369231,"0.369231",0.764286,"0.764286",199
300,0,30061,1,85,45,0,19315,0,19630,4,4,"0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0",3.415936,3.415936,"3.415936",0.817337,"0.817337",0.856655,"0.856655",-0.601250,"-0.601250",0.100000,"0.100000",0.508568,"0.508568",0.754165,"0.754165",0.033846,"0.033846",0.338462,"0.338462",0.761911,"0.761911",299
400,0,40057,1,112,69,0,29215,0,19869,5,5,"0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,2,0,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0",3.452390,3.452390,"3.452390",0.835620,"0.835620",0.771210,"0.771210",-0.413750,"-0.413750",0.050000,"0.050000",0.508551,"0.508551",0.797800,"0.797800",0.017692,"0.017692",0.353846,"0.353846",0.792147,"0.792147",399
500,0,50050,1,143,106,0,38974,0,17754,5,5,"0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,3,0,0,0,0,0,0,0","1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0",3.586030,3.586030,"3.586030",0.835114,"0.835114",0.745923,"0.745923",-0.477500,"-0.477500",0.100000,"0.100000",0.561325,"0.561325",0.800924,"0.800924",0.026742,"0.026742",0.267424,"0.267424",0.810626,"0.810626",499
600,0,60013,1,184,144,0,48012,0,17643,5,5,"0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,0","1,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0",3.438883,3.438883,"3.438883",0.792797,"0.792797",0.772318,"0.772318",-0.657500,"-0.657500",0.100000,"0.100000",0.676151,"0.676151",0.776387,"0.776387",0.028333,"0.028333",0.283333,"0.283333",0.754448,"0.754448",599
700,0,70071,1,212,179,0,56416,0,15322,6,6,"0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,0,0,0,0,0,0","2,0,0,0,0,2,2,0,0,0,3,0,2,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0",5.915657,5.915657,"5.915657",0.804746,"0.804746",0.709136,"0.709136",-0.126250,"-0.126250",0.700000,"0.700000",0.712793,"0.712793",0.762319,"0.762319",0.132023,"0.132023",0.188604,"0.188604",0.889913,"0.889913",699
800,0,80090,1,248,210,0,64905,0,16253,9,9,"0,1,0,0,0,2,0,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,3,0,0,0,0,0,0","4,0,0,0,0,2,4,0,0,0,4,0,2,0,1,3,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0",6.470870,6.470870,"6.470870",0.825969,"0.825969",0.726345,"0.726345",-0.062500,"-0.062500",0.800000,"0.800000",0.752759,"0.752759",0.749746,"0.749746",0.173255,"0.173255",0.216568,"0.216568",0.929834,"0.929834",799
900,0,90014,1,292,244,0,73992,0,18636,7,7,"0,0,0,0,0,1,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0","1,0,0,1,0,2,1,0,0,0,4,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0",6.161648,6.161648,"6.161648",0.837424,"0.837424",0.707783,"0.707783",-0.046250,"-0.046250",0.700000,"0.700000",0.752370,"0.752370",0.746980,"0.746980",0.155143,"0.155143",0.221633,"0.221633",0.926396,"0.926396",899
